Date,Open,High,Low,Close,Volume
2014-08-28,2083.03,2088.86,2072.14,2075.76,305877000
2014-08-29,2070.73,2073.03,2060.14,2068.54,301374000
2014-09-01,2067.8,2072.59,2062.3,2067.86,272468000
2014-09-02,2065.97,2066.0,2049.15,2051.58,323115000
2014-09-03,2050.09,2054.08,2040.44,2051.2,337971000
2014-09-04,2059.05,2065.27,2050.79,2056.26,376387000
2014-09-05,2053.18,2059.04,2044.68,2049.41,343350000
2014-09-11,2046.97,2052.16,2034.13,2034.16,333410000
2014-09-12,2042.51,2048.21,2037.37,2041.86,362672000
2014-09-15,2039.03,2040.08,2028.8,2035.82,297605000
2014-09-16,2039.92,2045.65,2036.23,2042.92,365691000
2014-09-17,2052.06,2062.62,2051.11,2062.61,351668000
2014-09-18,2058.21,2063.26,2044.17,2047.74,394273000
2014-09-19,2057.56,2062.37,2053.66,2053.82,397737000
2014-09-22,2053.3,2053.3,2032.36,2039.27,323890000
2014-09-23,2028.9,2036.25,2025.16,2028.91,427813000
2014-09-24,2024.75,2036.26,2019.91,2035.64,332585000
2014-09-25,2045.66,2046.26,2030.09,2034.11,325374000
2014-09-26,2019.17,2031.65,2018.7,2031.64,313524000
2014-09-29,2035.93,2036.44,2021.37,2026.6,339587000
2014-09-30,2023.18,2029.17,2007.3,2020.09,322812000
2014-10-01,2013.47,2013.47,1989.84,1991.54,351581000
2014-10-02,1984.43,1985.06,1966.17,1976.16,322656000
2014-10-06,1987.89,1988.39,1968.3,1968.39,325078000
2014-10-07,1979.83,1982.96,1966.22,1972.91,328234000
2014-10-08,1957.9,1974.27,1957.9,1965.25,266180000
2014-10-10,1953.98,1953.98,1931.88,1940.92,342823000
2014-10-13,1919.48,1932.37,1918.48,1927.21,308917000
2014-10-14,1933.45,1940.21,1926.87,1929.25,335506000
2014-10-15,1932.11,1938.85,1918.77,1925.91,310341000
2014-10-16,1911.45,1922.94,1904.77,1918.83,313610000
2014-10-17,1923.51,1923.51,1896.54,1900.66,362077000
2014-10-20,1918.84,1933.12,1917.54,1930.06,344669000
2014-10-21,1923.62,1923.62,1911.03,1915.28,405921000
2014-10-22,1936.91,1936.99,1924.21,1936.97,399095000
2014-10-23,1932.43,1944.45,1924.14,1931.65,372833000
2014-10-24,1942.46,1942.72,1916.84,1925.69,419427000
2014-10-27,1933.91,1939.25,1929.26,1931.97,408839000
2014-10-28,1935.46,1936.28,1924.37,1925.68,414616000
2014-10-29,1938.8,1961.49,1931.59,1961.17,396614000
2014-10-30,1956.92,1959.49,1944.24,1958.93,311048000
2014-10-31,1963.26,1967.08,1951.07,1964.43,349405000
2014-11-03,1959.66,1961.04,1947.83,1952.97,344497000
2014-11-04,1950.15,1956.73,1928.52,1935.19,391712000
2014-11-05,1938.61,1944.5,1928.99,1931.43,332276000
2014-11-06,1933.45,1939.32,1923.05,1936.48,360571000
2014-11-07,1935.75,1943.26,1932.17,1939.87,255424000
2014-11-10,1952.79,1965.35,1952.79,1958.23,313262000
2014-11-11,1957.87,1965.41,1956.23,1963.0,311396000
2014-11-12,1965.21,1974.69,1961.66,1967.27,348499000
2014-11-13,1970.64,1973.33,1954.88,1960.51,332594000
2014-11-14,1959.64,1959.64,1940.49,1945.14,314797000
2014-11-17,1941.83,1948.33,1935.95,1943.63,277521000
2014-11-18,1951.93,1967.01,1951.93,1967.01,251273000
2014-11-19,1974.41,1974.41,1959.21,1966.87,279559000
2014-11-20,1960.72,1962.69,1952.44,1958.04,339217000
2014-11-21,1966.89,1969.43,1959.81,1964.84,345924000
2014-11-24,1982.48,1985.18,1974.37,1978.54,325447000
2014-11-25,1981.52,1981.85,1973.8,1980.21,283188000
2014-11-26,1984.83,1985.43,1972.95,1980.84,253287000
2014-11-27,1993.65,1994.82,1982.08,1982.09,295509000
2014-11-28,1983.22,1984.73,1975.66,1980.78,340696000
2014-12-01,1971.95,1971.97,1962.15,1965.22,333977000
2014-12-02,1959.4,1965.83,1954.4,1965.83,317911000
